dest;retraso_medio
BOI;64.75
HDN;46.8
SFO;41.193768844221104
CLE;35.74193548387097
SBA;35.391752577319586
COS;35.05607476635514
BWI;34.585798816568044
EWR;33.52972258916777
DFW;33.27519181585678
MIA;32.66187050359712
ORD;32.47909024211299
BNA;31.94871794871795
JFK;31.255884586180713
JAC;30.25
PHL;29.245989304812834
OGG;27.511111111111113
IAD;27.430875576036865
HOU;27.33009708737864
LGB;27.07634730538922
FAT;26.852589641434264
DEN;26.788983501862692
IAH;25.76011288805268
HNL;24.996350364963504
KOA;24.4017094017094
OAK;24.34916475597773
BOS;24.332125603864736
TPA;24.083333333333332
OMA;23.26595744680851
SLC;23.010331702011964
PHX;22.650739085596424
DCA;22.52
CVG;22.486486486486488
ATL;22.484326018808776
MSP;21.576923076923077
MCO;21.43448275862069
MDW;21.425824175824175
SMF;21.149673735725937
LIH;21.089622641509433
PDX;20.960240963855423
SJC;20.95431098010317
LAS;20.899816176470587
ONT;20.80921052631579
RNO;20.61904761904762
SEA;20.210526315789473
ABQ;20.022727272727273
TUS;19.903061224489797
CLT;19.648230088495577
FAI;19.53825857519789
MCI;19.182795698924732
DTW;18.95924764890282
SIT;18.694444444444443
LAX;18.67682212327162
SAN;18.61768149882904
JNU;18.191176470588236
ANC;18.0687724910036
PSP;17.638225255972696
MKE;17.630434782608695
STL;17.31958762886598
BUR;17.016
KTN;16.3216
EUG;16.3125
FLL;16.162650602409638
RDM;15.954372623574145
AUS;15.935483870967742
GEG;15.90809327846365
BLI;15.457627118644067
SNA;14.538327526132404
MSY;12.851851851851851
SAT;12.564705882352941
LMT;10.0
